Date of Notice|Business Type|region|company|Number Affected|Layoff Date|Reason for Dislocation|Classification
4/18/2020|Building Services|New York City Region|605 Cleaning Service Company II LP|16|4/1/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/18/2020|Building Services|New York City Region|299 Cleaning Service Company II LP|22|3/18/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/17/2020|Restaurant|New York City Region|PQ New York, Inc. dba Le Pain Quotidien|55|3/20/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/17/2020|Restaurant|New York City Region|Le Pain Quotidien-HQ|34|The first separation of employees occurred on April 20, 2020 with other separations occurring on April 24, 2020, May 4, 2020 and May 8, 2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/16/2020|Restaurant|New York City Region|Broome Street Food and Drink LLC|||Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/16/2020|Restaurant|New York City Region|Black Tap Midtown, LLC aka Black Tap Craft Burgers & Beer|||Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/16/2020|Restaurant|New York City Region|Hotel 35, LLC aka Black Craft Burgers & Beer|||Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/30/2020|Movie Theatre|New York City Region|New York Cinema Investments LLC dba Cinepolis|||Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/17/2020|Restaurant|New York City Region|126 PQ Union Square, Inc.|33|3/19/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/17/2020|Restaurant|New York City Region|131 PQ 53rd Street, Inc.|54|3/20/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/17/2020|Restaurant|New York City Region|133 PQ 6th Ave, Inc.|48|3/20/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/17/2020|Restaurant|New York City Region|116 PQ Central Park, Inc.|116|3/20/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/17/2020|Restaurant|New York City Region|114 PQ Bakery, LLC|128|3/20/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/17/2020|Restaurant|New York City Region|33rd Street Bakery, Inc.|101|3/22/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/17/2020|Restaurant|New York City Region|121 PQ New York, Inc.|38|3/20/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/31/2020|PR Consulting|New York City Region|Pierre Rougier PR Consulting Inc.|||Unforeseeable business circumstances prompted by COVID-19|Plant Layoff
4/17/2020|Theater|New York City Region|The Ribbon Worldwide LLC|77|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
