Date of Notice|Business Type|region|company|Number Affected|Layoff Date|Reason for Dislocation|Classification
3/30/2020|Restaurant|New York City Region|Rooftop 63 LLC|70|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/31/2020|Restaurant|New York City Region|Uncle Biagio, LLC dba Don Angie|45|3/31/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/31/2020|Restaurant|New York City Region|Blue Smoke 102 North End Ave LLC dba Blue Smoke|63|3/18/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/1/2020|Restaurant|New York City Region|55th Street Hospitality Holdings, LLC dba The Ricky Fishbowl and PHD Terrace|95|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/30/2020|Hotel|New York City Region|Standard High Line Employer, LLC|164|3/22/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/27/2020|Hotel|New York City Region|Omni Berkshire Corporation dba Omni Berkshire Place Hotel|52|3/24/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/1/2020|Electricians|New York City Region|Welsbach Electric Corp.|31|3/6/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/23/2020|Restaurant|Mid-Hudson Region|Jean Georges of Pound Ridge LLC, dba The Inn at Pound Ridge|83|3/15/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/27/2020|Custom auto interior parts for classic car restoration|Finger Lakes Region|Legendary Auto Interiors|57|3/30/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/26/2020|Go-kart track|Mid-Hudson Region|Team Member Services LLC, dba Autobahn Indoor Speedway|27|3/27/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/18/2020|Industrial Machinery & Equipment|Long Island Region|Allen Boulevard Corp.|18|3/18/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/26/2020|Attorney's Office|Southern Region|Levene Gouldin & Thompson, LLP|31|3/13/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/27/2020|Promotional Product Supplier|Long Island Region|Positive Promotions, Inc.|236|3/18/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/26/2020|Casino Hotel|North Country Region|Akwesasne Mohawk Casino Resort|700|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/26/2020|Hotel|Long Island Region|Inn at Fox Hollow|58|3/26/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/26/2020|Restaurant|Long Island Region|Scotto Brothers Corporate Office|3|3/26/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/27/2020|Collection Agency|Southern Region|Coast Professional, Inc.|146|3/20/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/25/2020|Waxing Services|Western Region|Waxing Centers of Buffalo, LLC|93|3/18/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/20/2020|Restaurant|New York City Region|Fireman Hospitality Group Caf Concepts, Inc. dba Caf Concepts|143|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/31/2020|Catering|New York City Region|USE LX LLC dba Lexus Intersect|62|3/18/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/2/2020|Restaurant|New York City Region|HLD Tribeca LLC dba Sushi of Gari Tribeca|22|3/31/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/20/2020|Electrical Supply Store|Mohawk Valley Region|Varflex Corporation|145|3/20/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/23/2020|Health Care Provider - Mammography|Finger Lakes Region|Elizabeth Wende Breast Care, LLC|78|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/26/2020|Hotel|New York City Region|The Ritz-Carlton New York Central Park|315|3/14/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/27/2020|Consulting Group|New York City Region|American Management Association International (NYC)|23|3/27/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/27/2020|Restaurant|Store #4800) - Long Island Region|P.F. Chang's China Bistro (Westbury|118|3/26/2020|Unforeseeable business circumstances prompted by COVID-19|Plant Closing
3/30/2020|Education and Child Care|Long Island Region|Harbor Day Care Center, Inc. dba Harbor Child Care|272|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/30/2020|Retail|Mid-Hudson Region|Two's Company, Inc.|109|3/30/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/2/2020|Restaurant|New York City Region|HLD Columbus LLC, dba Gari Columbus|30|3/31/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/2/2020|Restaurant|New York City Region|HLD Gari LLC, dba Sushi of Gari Upper East Side|25|3/31/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/18/2020|Hotel|New York City Region|Evelyn Hotel LLC|45|3/24/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/18/2020|Hotel|New York City Region|Iroquois Hotel LLC|50|3/24/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/18/2020|Hotel|New York City Region|Washington Jefferson Hotel, LLC|45|3/24/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/18/2020|Hotel|New York City Region|Belleclaire Hotel LLC|55|3/24/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/18/2020|Hotel|New York City Region|Edison Hotel, LLC|250|3/24/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/18/2020|Hotel|New York City Region|Frederick Hotel|45|3/24/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/18/2020|Hotel|New York City Region|Harvard Club of New York|275|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/17/2020|Hotel|New York City Region|Silver Autumn Hotel Corporation LTD dba Warwick New York Hotel|275|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/25/2020|Transportation Company|New York City Region|Greyhound Lines, Inc.|114|3/25/2020|Unforeseeable business circumstances prompted by COVID-19|Plant Layoff
3/30/2020|Hotel|NY Downtown Manhattan World Trade Center Area - New York City Region|Fairfield Inn|-----|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/26/2020|Restaurant|New York City Region|Oki Ringo dba Covina, o ya, & Roof @ Park South|104|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/25/2020|Hotel|New York City Region|InterContinental New York Times Square|310|3/27/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/27/2020|Restaurant|New York City Region|Sweet Chick LES, LLC dba Sweet Chick|45|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/30/2020|Sporting Goods|New York City Region|Paragon Sports, LLC|230|4/4/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/24/2020|Restaurant|New York City Region|Milos Inc. dba Estiatorio Milos|180|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/26/2020|Restaurant|New York City Region|228 West 10th Street, LLC dba L'Artusi|110|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/26/2020|Restaurant|New York City Region|34 8th Avenue LLC dba Anfora|11|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/26/2020|Restaurant|New York City Region|Greener Pastures Management Corp. dba Irving Farm Coffee Roasters|119|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/31/2020|Fire Sprinkler Installation|New York City Region|Capitol Fire Sprinkler Co. Inc.|58|3/20/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/19/2020|Studio Equipment|New York City Region|Quixote Studios, LLC|6|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/27/2020|Physical and Occupational Therapy|Mid-Hudson Region|S.P.E.A.R. Physical and Occupational Therapy PLLC|-----|3/18/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/23/2020|Furniture|Southern Region|Hornell Furniture Outlet|25|3/22/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/23/2020|Machine Shop|Finger Lakes Region|T&L Automatics, Inc.|111|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/26/2020|Linen and Uniform Supply|Finger Lakes Region|Alsco, Inc.|52|3/19/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/30/2020|Restaurant|New York City Region|44 Restaurant LLC dba The Lambs Club|133|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Plant Layoff
3/16/2020|Restaurant|New York City Region|Burger & Lobster Bryant Park LLC|80|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/31/2020|Catering|New York City Region|28 Liberty F&B Management, LLC|178|3/18/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/31/2020|Catering|New York City Region|Art Food, LLC|273|3/18/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/31/2020|Catering|New York City Region|29th Street NY Food and Beverage Operating Company LLC|165|3/18/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/31/2020|Catering|New York City Region|Union Square Hospitality Group (USHG), LLC|45|3/18/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/31/2020|Catering|New York City Region|Hudson Yards Catering LLC|416|3/18/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Closing
3/18/2020|Hotel|New York City Region|Hudson Hotel|212|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/31/2020|Hotel|New York City Region|Martinique New York on Broadway, Curio Collection by Hilton Hotel|123|3/18/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/30/2020|Hotel|Long Island Region|The Garden City Hotel|290|3/15/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/30/2020|Bakery|Long Island Region|Glenn Wayne Bakery|57|3/15/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/27/2020|Retail & Light Manufacturing|New York City Region|Rony Elka Vardi Inc. dba Catbird|112|3/27/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/27/2020|Social services organization|New York City Region|Boriken Neighborhood Health Center, East Harlem Council for Human Services, Inc.|29|3/30/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/19/2020|Hotel|New York City Region|The Bowery Hotel, LLC|87|3/18/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/19/2020|Hotel|New York City Region|Lotte New York Palace Hotel|335|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/26/2020|Restaurant|New York City Region|Chumley's 86 LLC|19|3/15/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/25/2020|Restaurant|New York City Region|Brits on Madison LLC|139|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Plant Layoff
3/19/2020|Restaurant|New York City Region|Bowery F&B, LLC|209|3/18/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/25/2020|Restaurant|New York City Region|SRHG West, LLC|181|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Plant Layoff
3/25/2020|Hotel|New York City Region|The Roosevelt Hotel NYC|507|3/21/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/27/2020|Hotel|New York City Region|Loews Regency New York Hotel|285|3/28/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/27/2020|Restaurant|New York City Region|Hudson Rooftop LLC|44|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/27/2020|Restaurant|New York City Region|Bagatelle Little West 12th LLC|91|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/27/2020|Restaurant|New York City Region|Bagatelle Downtown LLC|30|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/23/2020|Restaurant|New York City Region|Triomphe Restaurant Corp. dba Jean-Georges Restaurant|216|3/15/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/23/2020|Restaurant|New York City Region|Lucy Kitchen LLC, dba abc v|177|3/15/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/23/2020|Restaurant|New York City Region|Mercer Kitchen LLC, dba Mercer Kitchen|170|3/15/2020|Unforeseeable business circumstances prompted by COVID-19|Plant Temporary Closing
3/24/2020|Restaurant|New York City Region|Origine LLC, dba JoJo|51|3/15/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/26/2020|Hotel|New York City Region|Hotel 57 Services LLC dba Four Seasons Hotel New York|372|3/21/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
2/7/2020|Modern Japanese restaurant|New York City Region|Morimoto NY Venture, L.P.|113|Separations will occur on May 10, 2020, or the 14-day period commencing on that date.|Expiration of building lease|Plant Closing
3/20/2020|Restaurant|New York City Region|The Sake Club, Inc. dba Kiosku|-----|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/20/2020|Restaurant|New York City Region|Hasaki Restaurant, Inc.|-----|3/20/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/20/2020|Restaurant|New York City Region|Shinko Foods, Inc. dba Curry-Ya|-----|3/20/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/20/2020|Restaurant|New York City Region|Sobaya Restaurant, Inc. dba Rai Rai Ken|-----|3/20/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/19/2020|Restaurant|New York City Region|Sobaya Restaurant, Inc. dba Sobaya|-----|3/19/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/20/2020|Restaurant|New York City Region|The Sake Club, Inc. dba Sakagura|-----|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/24/2020|Music Venue|New York City Region|GBND Enterprises, Inc. dba Village Underground|40|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/27/2020|Hotel|New York City Region|84 William Street JV, LLC dba AKA Wall Street|31|3/30/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/25/2020|Restaurant|New York City Region|Quick Pickle, LLC aka Jacob's Pickles TOM|10|3/15/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
12/23/2019|Resort Hotel|Mid-Hudson Region|Benchmark Hospitality of Westchester, LLC (Doral Arrowwood Resort)|275||Loss of funding|Plant Closing
3/25/2020|Restaurant|New York City Region|New York Beer Co., LLC dba Jacob's Pickles|82|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/25/2020|Restaurant|New York City Region|Tiki Chicki, LLC dba Tiki Chick|23|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/26/2020|Restaurant|New York City Region|Sushi Nakazawa LLC|44|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/24/2020|Restaurant|New York City Region|Dynamic Music, Inc. dba The Olive Tree Caf/Comedy Cellar|64|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/25/2020|Restaurant|New York City Region|Dr. Howard Dr. Fine, LLC|68|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/18/2020|Restaurant|New York City Region|Tokyo Mama, Inc. dba Cha-an|-----|3/18/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/27/2020|Hotel|New York City Region|85 W Broadway JV LLC, aka Tribeca|27|3/27/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/20/2020|Restaurant|New York City Region|Curry Ya 45, Inc. dba Curry-Ya|-----|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/25/2020|Restaurant|New York City Region|Train Design, LLC|240|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/27/2020|Restaurant|New York City Region|BL 62 West 9th Street dba CASA APICII|23|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/19/2020|Hotel|A St Giles Signature Hotel - New York City Region|The Tuscany|75|3/29/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/24/2020|Restaurant|New York City Region|The Mark Restaurant|161|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/20/2020|Restaurant|New York City Region|Waverly Restaurant, LLC|82|3/18/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/18/2020|Linen Supply|Metropolitan Towel & Linen Supply Co. Inc. - Long Island Region|Best|46|3/18/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/20/2020|Auto Dealership|Mid-Hudson Region|Rivera Auto Group Inc. dba Rivera Toyota of Mount Kisco|-----|3/19/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/21/2020|Emergency Relief|Finger Lakes Region|Emergency Planning Management Inc.|62|3/20/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/23/2020|Wellness Center|New York City Region|The Well|79|3/29/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/23/2020|Food Distribution|North Country Region|Renzi Foodservice|-----|3/20/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/20/2020|Medical Equipment|Capital Region|Millennium Medical Leasing LLC|136|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/26/2020|Restaurant|New York City Region|Tonali, Inc. dba Maya|45|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/26/2020|Restaurant|New York City Region|Zengo NYC, LLC|59|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/24/2020|Restaurant|New York City Region|Cameron Mitchell Restaurants, LLC|150|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/24/2020|Hotel|New York City Region|Soho House New York, LLC|18|3/20/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/24/2020|Hotel|New York City Region|Soho House New York, Inc.|14|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/24/2020|Hotel|New York City Region|Soh-Ludlow Tenant, Inc.|7|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/26/2020|Portfolio Management|New York City Region|NeueHouse Management LLC|62|3/22/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/19/2020|Hotel|New York City Region|Elysee Hotel Hospitality LLC dba Hotel Elysee|54|3/22/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/18/2020|Restaurant|New York City Region|ilili Box-Row NYC, LLC|7|3/15/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/24/2020|Hotel|New York City Region|Belvedere Hotel|109|3/30/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/17/2020|Construction|New York City Region|First Standard Construction Inc.|19|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/17/2020|Restaurant|New York City Region|LM Restaurant Group LLC aka SideBAR|76|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/25/2020|Hotel|Hilton Grand Vacations Residences and Club - New York City Region|Hilton Resorts Corporation|12|3/20/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/19/2020|Hotel|New York City Region|BD 35th Street, LLC dba The Kixby Hotel|60|3/19/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/19/2020|Hotel|New York City Region|Pod 39 Operating, LLC dba Pod 39 Hotel|82|3/18/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/19/2020|Hotel|New York City Region|Easthill Hotel Corp. dba Pod 51 Hotel|70|3/18/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/19/2020|Hotel|New York City Region|Hudson River Inn, LLC dba The Maritime Hotel|50|3/18/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/25/2020|Restaurant|New York City Region|26th Street Restaurant, LLC|134|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/25/2020|Restaurant|New York City Region|Buddakan NY, L.P.|238|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/20/2020|Restaurant|New York City Region|Sobaya Restaurant Inc., dba HI-COLLAR|-----|3/20/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/25/2020|Restaurant|New York City Region|Moe Larry Cheese, LLC|117|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/26/2020|Coffee Shop|New York City Region|Variety Coffee, Variety Caf Inc.|31|3/18/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/27/2020|Restaurant|New York City Region|Sweet Chick Flatbush, LLC dba Sweet Chick|46|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/27/2020|Restaurant|New York City Region|Pebble Corp. dba Sweet Chick|53|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/27/2020|Restaurant|New York City Region|Sweet Chick Vernon LLC dba Sweet Chick|36|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/27/2020|Car Dealership|North Country Region|FX Caprara CDJR of Watertown LLC|31|3/27/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/25/2020|Home Furnishing|Long Island Region|Kravet Inc.|34|3/25/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/27/2020|Sanitation|Long Island Region|Jet Sanitation Services Corp.|49|7/1/2020|Sale of Company|Plant Sale
3/27/2020|Consulting|New York City Region|Empire Consulting Solutions|86|6/30/2020|Economic|Contract Dissolution
3/26/2020|Restaurant|New York City Region|Joe's Public LLC, dba Joes Pub|78|3/12/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/26/2020|Restaurant|New York City Region|Pasta Shop LLC dba Bar Primi|70|3/15/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/27/2020|Data Analytics Service Provider|New York City Region|USEReady|30|3/27/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/23/2020|Carpet Cleaning Service|New York City Region|Costikyan, Inc.|17|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/31/2020|Integrated Media Entertainment|New York City Region|Madison Entertainment Associates LLC dba LAVO NY|185|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/31/2020|Ticket Sales|New York City Region|289 Hospitality, LLC dba Marquee NY|49|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/31/2020|Restaurant|New York City Region|BD Stanhope, LLC dba TAO Downtown|241|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/24/2020|Software| New York City Region|Overtime Sports, Inc.|34|3/25/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/2/2020|Restaurant|New York City Region|Pasta La Vista, Inc. dba Pazza Notte|53|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/30/2020|Ambulatory Surgery Center|Finger Lakes Region|Brighton Surgery Center, LLC|-----|3/30/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/30/2020|Catering Staffing|New York City Region|Special Event Staffing|297|3/30/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/31/2020|PR Consulting|New York City Region|Pierre Rougier PR Consulting Inc.|9|3/31/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/23/2020|Hospitality|New York City Region|It's Our Pleasure Hospitality Group LLC|10|3/20/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/30/2020|Audio, Visual and Lighting|New York City Region|Gala Productions LLC|76|3/30/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/31/2020|Manufacturer|Western Region|The Goodyear Tire & Rubber Company|30|4/1/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Operation Suspension
3/23/2020|Denim Retailer|New York City Regions|DL1961 Premium Denim Inc.|37|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/23/2020|Watch Manufacturing|New York City Region|Citizen Watch Company of America, Inc.|42|6/21/2020|Unforeseeable business circumstances prompted by COVID-19|Plant Closing
3/16/2020|Gym|New York City Region|Howard Beach Fitness Center dba Limitless Fitness|-----|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/23/2020|Hotel|New York City Region|Fitzpatrick Grand Central Hotel|57|3/20/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/25/2020|Hotel|New York City Region|1 Hotel Brooklyn Bridge|169|3/22/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/25/2020|Hotel|New York City Region|SH RG IBB|127|3/22/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/23/2020|Hotel|New York City Region|Ludlow Hotel Operating LLC|70|3/18/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/23/2020|Restaurant|New York City Region|IXHEL Corporation dba CAF FRIDA|41|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/21/2020|Hotel|New York City Region|The Lowell Hotel|47|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/23/2020|Airport Retail|New York City Region|Paradies-JFK, LLC|61|3/24/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/26/2020|Hotel|New York City Region|Mandarin Oriental Hotel|50|3/27/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/17/2020|Restaurant|New York City Region|Post House Investors, L.P. dba Majorelle|50|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/16/2020|Hotel|New York City Region|Colony Club|60|3/18/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/19/2020|Hotel|New York City Region|Wellington Hotel Company, Inc.|122|3/18/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/20/2020|Restaurant|New York City Region|22 East 54th Street Restaurant Corp. dba Papillon Bistro and Bar|75|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/20/2020|Restaurant|New York City Region|Camelot Castle LLC dba Oscar Wilde|83|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/25/2020|Restaurant|New York City Region|49th Street Restaurant LLC dba Lillie's|63|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
